,頻道名,網址,類別,icon
71,綜藝大熱門 Hot Door Night,https://www.youtube.com/c/%E6%88%91%E6%84%9B%E5%A4%A7%E7%86%B1%E9%96%80/videos,娛樂,https://yt3.ggpht.com/Muw_FgwOuTry14KGcO7q7BsmIPpfuLoaplqsdcA0b6A1FFnNTwzXcPIiH39bmqMoFolDlcQ2Iw=s900-c-k-c0x00ffffff-no-rj
72,Ku's deam酷的夢-,https://www.youtube.com/c/Kusdream%E9%85%B7%E7%9A%84%E5%A4%A2/videos,主題人物,https://yt3.ggpht.com/ytc/AKedOLS8vuvFH3u2gKS5RHpQbXiG0MGV8lI-e4uyGfXjvg=s900-c-k-c0x00ffffff-no-rj
73,理科太太 Li Ke Tai Tai,https://www.youtube.com/c/liketaitai/videos,教育,https://yt3.ggpht.com/ytc/AKedOLRigvXo6MZEIZvc9yhLHSwz_mEPJ2sVCdAYnvoR=s900-c-k-c0x00ffffff-no-rj
74,眼球中央電視台,https://www.youtube.com/channel/UCTqPBBnP2T57kmiPQ87986g/videos,新聞類,https://yt3.ggpht.com/ytc/AKedOLS2CdiMMZYVB0cb4djW2SmUhZ-UR654bsuhDxvQ=s900-c-k-c0x00ffffff-no-rj
75,巧克力,https://www.youtube.com/c/oeurxhichocolate/videos,遊戲,https://yt3.ggpht.com/ytc/AKedOLQYMJj7dmQKnhBathcu0fvWSjqxF9HnsSwPgwUU=s900-c-k-c0x00ffffff-no-rj
76,77老大,https://www.youtube.com/channel/UC8zkK0-g8S8Z_t8ZjUmpAlA/videos,主題人物,https://yt3.ggpht.com/3TisJQ9NU06QlznGe7L8i9J5bjWDaU7Dml-7J6xvxM30qTwiEIMrElW9KXmiGMyX6wQszRBqww=s900-c-k-c0x00ffffff-no-rj
77,館長成吉思汗,https://www.youtube.com/c/%E9%A4%A8%E9%95%B7%E6%88%90%E5%90%89%E6%80%9D%E6%B1%97/videos,主題人物,https://yt3.ggpht.com/h_1BkV-qyADx-NSNtfek1whfGb-7eQSu08LtAN01cbjLcivhGxTLF6ZdU9QRU8QsOOS3ar5kbw=s900-c-k-c0x00ffffff-no-rj
78,鍾明軒,https://www.youtube.com/channel/UCZVCbj9weVNAWqXS9gnfm5A/videos,主題人物,https://yt3.ggpht.com/ytc/AKedOLS9MnpxWyZRWsT1cvHEaZ3VBffdzafHHAogPceBcA=s900-c-k-c0x00ffffff-no-rj
79,見習網美小吳,https://www.youtube.com/channel/UCAfcy122TZHqDQMMAwfbvBQ/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLQBLFSQdEDhoZ2NhB-KoHCgO7RVe-lhKgfA5B25=s900-c-k-c0x00ffffff-no-rj
80,韓勾ㄟ金針菇 찐쩐꾸,https://www.youtube.com/c/ggukim/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLSoDiQlx511xuGr5dp__baw-yNntp0QlGp8NpDA=s900-c-k-c0x00ffffff-no-rj
81,噪咖EBCbuzz,https://www.youtube.com/c/EBCbuzz/videos,娛樂,https://yt3.ggpht.com/ytc/AKedOLTTSs8MqX8MQYinTEzTYbE87OtuS1IHEhLlm_KK=s900-c-k-c0x00ffffff-no-rj
